index,descriptors,relative_frequency
"Cabernet Sauvignon, Maule Valley, Central Valley, Chile",cheese,0.05
"Cabernet Sauvignon, Monterey, Central Coast, California, USA",pepper,0.03
"Pinot Noir, Monterey, Central Coast, California, USA",oak,0.02
"Merlot, Paso Robles, Central Coast, California, USA",berry,0.03
"Riesling, Rheinhessen, Germany",apple,0.03
"Riesling, Rheingau, Germany",petrol,0.03
"Pinot Noir, Finger Lakes, New York, USA",strawberry,0.04
"Pinot Noir, Santa Barbara, Central Coast, California, USA",mint,0.02
"Merlot, Columbia Valley, Washington, USA",berry,0.04
"Pinot Noir, Wairarapa, New Zealand",oak,0.04
"Merlot, Maipo Valley, Central Valley, Chile",fruit,0.03
"Cabernet Sauvignon, Aconcagua Valley, Aconcagua Region, Chile",cola,0.04
"Cabernet Franc, Long Island, New York, USA",bramble,0.04
"Sangiovese, Napa Valley, North Coast, California, USA",prune,0.02
"Sauvignon Blanc, Coastal Region, South Africa",flower,0.04
"White Blend, Burgenland, Austria",vanilla,0.04
"Syrah, Paso Robles, Central Coast, California, USA",juicy,0.03
"Chardonnay, Breede River Valley",orange_blossom,0.05
"Syrah, Columbia Valley, Washington, USA",sappy,0.03
"Syrah, Columbia Valley, Oregon, USA",sweat,0.08
"Syrah, Sierra Foothills, California, USA",plum,0.03
"Chardonnay, Paso Robles, Central Coast, California, USA",buttery_toast,0.04
"Syrah, Southern Oregon, Oregon, USA",coffee,0.03
"Syrah, Maipo Valley, Central Valley, Chile",burnt,0.06
"Cabernet Sauvignon, Napa Valley, North Coast, California, USA",jam,0.02
"Chardonnay, Columbia Valley, Washington, USA",steel,0.03
"Chardonnay, Maipo Valley, Central Valley, Chile",pear,0.05
"Zinfandel, San Francisco Bay, Central Coast, California, USA",vegetal,0.03
"Pinot Noir, Napa Valley, North Coast, California, USA",fruit,0.03
"Tempranillo, Sierra Foothills, California, USA",ripe,0.05
"Tempranillo, Columbia Valley, Washington, USA",toast,0.05
"Tempranillo, Southern Oregon, Oregon, USA",wild_berry,0.06
"Cabernet Sauvignon, Inland Valleys, California, USA",toast,0.05
"Cabernet Sauvignon, Cachapoal Valley, Central Valley, Chile",fruit,0.04
"Syrah, Casablanca Valley, Aconcagua Region, Chile",perfumed,0.06
"Sauvignon Blanc, Colchagua Valley, Central Valley, Chile",honey,0.06
"Merlot, Sonoma Valley, North Coast, California, USA",oak,0.03
"Chardonnay, Casablanca Valley, Aconcagua Region, Chile",pear,0.04
"Grenache, Santa Barbara, Central Coast, California, USA",herb,0.03
"Zinfandel, Inland Valleys, California, USA",pepper,0.05
"Merlot, San Francisco Bay, Central Coast, California, USA",mint,0.03
"Sauvignon Blanc, Monterey, Central Coast, California, USA",lemongrass,0.04
"Sauvignon Blanc, Finger Lakes, New York, USA",peach,0.06
"Sauvignon Blanc, Maule Valley, Central Valley, Chile",vegetal,0.04
"Syrah, Sonoma Valley, North Coast, California, USA",raspberry,0.03
"Chardonnay, Long Island, New York, USA",honeydew,0.03
"Chardonnay, Sonoma Valley, North Coast, California, USA",citrus,0.03
"Cabernet Sauvignon, Paso Robles, Central Coast, California, USA",juicy,0.02
"Cabernet Sauvignon, Rapel Valley, Central Valley, Chile",berry,0.05
"Cabernet Sauvignon, Maipo Valley, Central Valley, Chile",berry,0.03
"Cabernet Sauvignon, Columbia Valley, Oregon, USA",cherry,0.03
"Sauvignon Blanc, Cape South Coast, South Africa",lemon,0.05
"Syrah, San Luis Obispo, Central Coast, California, USA",overripe,0.03
"Riesling, Niederosterreich, Austria",peach,0.03
"Zinfandel, Paso Robles, Central Coast, California, USA",jam,0.04
"Riesling, Santa Barbara, Central Coast, California, USA",minerality,0.04
"Zinfandel, Columbia Valley, Washington, USA",bramble,0.04
"Zinfandel, Sierra Foothills, California, USA",spice,0.04
"Sauvignon Blanc, Napa Valley, North Coast, California, USA",pineapple,0.03
"Chardonnay, Willamette Valley, Oregon, USA",toast,0.03
"Chardonnay, Canterbury and Waipara, New Zealand",oak,0.06
"Chardonnay, Central Otago, New Zealand",fruit,0.03
"Viognier, Inland Valleys, California, USA",lemon,0.06
"White Blend, Southern Greece, Greece",apple,0.06
"Sauvignon Blanc, Hawkes Bay, New Zealand",steel,0.03
"Merlot, Southern Oregon, Oregon, USA",grapey,0.03
"Cabernet Sauvignon, Sonoma Valley, North Coast, California, USA",earth,0.02
"Syrah, Breede River Valley",minerality,0.06
"Pinot Noir, Marlborough, New Zealand",toast,0.03
"Grenache, Paso Robles, Central Coast, California, USA",overripe,0.03
"Pinot Noir, Sonoma Valley, North Coast, California, USA",spice,0.02
"Cabernet Sauvignon, San Francisco Bay, Central Coast, California, USA",herb,0.03
"Sauvignon Blanc, San Antonio, Aconcagua Region, Chile",asparagus,0.04
"White Blend, Coastal Region, South Africa",lactic,0.05
"Pinot Noir, San Francisco Bay, Central Coast, California, USA",lactic,0.02
"Zinfandel, Sonoma Valley, North Coast, California, USA",pepper,0.04
"Viognier, Paso Robles, Central Coast, California, USA",apricot,0.06
"Viognier, Columbia Valley, Washington, USA",juicy,0.05
"Sauvignon Blanc, Paso Robles, Central Coast, California, USA",lemon,0.04
"Viognier, Sierra Foothills, California, USA",lactic,0.04
"Pinot Noir, San Luis Obispo, Central Coast, California, USA",oak,0.02
"Viognier, Southern Oregon, Oregon, USA",peach,0.04
"Merlot, Rapel Valley, Central Valley, Chile",leather,0.05
"Merlot, Napa-Sonoma, North Coast, California, USA",wood,0.04
"Sauvignon Blanc, Maipo Valley, Central Valley, Chile",pea,0.03
"Pinot Noir, Willamette Valley, Oregon, USA",raspberry,0.04
"Bordeaux-style Red Blend, Santa Barbara, Central Coast, California, USA",unripe,0.03
"Merlot, Long Island, New York, USA",flower,0.03
"Petite Sirah, Napa Valley, North Coast, California, USA",chocolate,0.04
"Pinot Noir, San Benito, Central Coast, California, USA",sandalwood,0.01
"Syrah, Napa-Sonoma, North Coast, California, USA",super_ripe,0.05
"Sangiovese, Paso Robles, Central Coast, California, USA",smoke,0.05
"Petite Sirah, Inland Valleys, California, USA",plum,0.04
"Chardonnay, Napa-Sonoma, North Coast, California, USA",citrus,0.03
"Sangiovese, Columbia Valley, Washington, USA",ripe,0.04
"Sangiovese, Sierra Foothills, California, USA",raspberry,0.04
"Merlot, Galilee, Israel",earth,0.04
"Pinot Noir, San Antonio, Aconcagua Region, Chile",burnt,0.06
"Viognier, Sonoma Valley, North Coast, California, USA",flower,0.04
"Cabernet Sauvignon, Columbia Valley, Washington, USA",spice,0.03
"Sauvignon Blanc, Marlborough, New Zealand",melon,0.03
"Cabernet Sauvignon, Sierra Foothills, California, USA",herb,0.03
"Sauvignon Blanc, Sonoma Valley, North Coast, California, USA",fig,0.03
"Syrah, Galilee, Israel",strawberry,0.04
"Cabernet Sauvignon, Southern Oregon, Oregon, USA",earth,0.05
"White Blend, Macedonia, Greece",steel,0.05
"Chardonnay, Burgenland, Austria",ripe,0.06
"Pinot Noir, Paso Robles, Central Coast, California, USA",oak,0.05
"Riesling, Monterey, Central Coast, California, USA",minerality,0.03
"Pinot Noir, Southern Oregon, Oregon, USA",berry,0.04
"Malbec, Colchagua Valley, Central Valley, Chile",herb,0.05
"Riesling, Finger Lakes, New York, USA",minerality,0.04
"Chardonnay, Galilee, Israel",lemongrass,0.04
"Cabernet Franc, Napa Valley, North Coast, California, USA",oak,0.02
"Petite Sirah, Paso Robles, Central Coast, California, USA",overripe,0.02
"Merlot, Curico Valley, Central Valley, Chile",smoke,0.03
"Pinot Grigio, Monterey, Central Coast, California, USA",lactic,0.05
"Sauvignon Blanc, San Luis Obispo, Central Coast, California, USA",apricot,0.06
"Pinot Grigio, Finger Lakes, New York, USA",earth,0.04
"Pinot Noir, Nelson, New Zealand",kiwi,0.06
"Pinot Grigio, Santa Barbara, Central Coast, California, USA",pineapple,0.03
"Bordeaux-style Red Blend, Coastal Region, South Africa",juicy,0.05
"Pinot Noir, Casablanca Valley, Aconcagua Region, Chile",burnt,0.04
"Sangiovese, Sonoma Valley, North Coast, California, USA",blackberry,0.03
"Riesling, Pfalz, Germany",fruit,0.05
"Chardonnay, Gisborne, New Zealand",pear,0.04
"White Blend, Napa Valley, North Coast, California, USA",botrytis,0.05
"Cabernet Sauvignon, Napa-Sonoma, North Coast, California, USA",cherry,0.04
"Chardonnay, Auckland, New Zealand",fruit,0.04
"Merlot, Santa Barbara, Central Coast, California, USA",jam,0.03
"Cabernet Sauvignon, Long Island, New York, USA",leafy,0.05
"Syrah, Hawkes Bay, New Zealand",wood,0.05
"Grenache, Columbia Valley, Washington, USA",earth,0.04
"Syrah, Santa Barbara, Central Coast, California, USA",oak,0.02
"Cabernet Sauvignon, Galilee, Israel",violet,0.04
"Chardonnay, Monterey, Central Coast, California, USA",apricot,0.03
"Riesling, Nahe, Germany",herb,0.03
"Petite Sirah, Sonoma Valley, North Coast, California, USA",wild_berry,0.02
"Chardonnay, Santa Barbara, Central Coast, California, USA",apple,0.03
"Sauvignon Blanc, Columbia Valley, Washington, USA",oak,0.03
"Sauvignon Blanc, Sierra Foothills, California, USA",herbacious,0.05
"Petite Sirah, San Francisco Bay, Central Coast, California, USA",wild_berry,0.02
"Bordeaux-style Red Blend, Finger Lakes, New York, USA",earth,0.03
"Sauvignon Blanc, Steiermark, Austria",grapefruit,0.04
"Pinot Noir, Canterbury and Waipara, New Zealand",plum,0.04
"Pinot Noir, Central Otago, New Zealand",perfumed,0.03
"Sauvignon Blanc, Nelson, New Zealand",tropical_fruit,0.06
"Sauvignon Blanc, Casablanca Valley, Aconcagua Region, Chile",fruit,0.04
"Cabernet Franc, Finger Lakes, New York, USA",potpourri,0.03
"Cabernet Sauvignon, Curico Valley, Central Valley, Chile",graphite,0.03
"Merlot, Coastal Region, South Africa",soil,0.04
"Riesling, Columbia Valley, Washington, USA",apple,0.03
"Chardonnay, Napa Valley, North Coast, California, USA",peach,0.03
"Bordeaux-style Red Blend, Napa Valley, North Coast, California, USA",berry,0.02
"Sauvignon Blanc, Long Island, New York, USA",gooseberry,0.03
"Sauvignon Blanc, Limari Valley, Coquimbo Region, Chile",flower,0.06
"Syrah, Coastal Region, South Africa",plum,0.04
"Cabernet Sauvignon, Santa Barbara, Central Coast, California, USA",unripe,0.03
"Cabernet Franc, San Francisco Bay, Central Coast, California, USA",mint,0.03
"Chardonnay, Coastal Region, South Africa",minerality,0.04
"Bordeaux-style Red Blend, Hawkes Bay, New Zealand",flower,0.05
"Merlot, Colchagua Valley, Central Valley, Chile",blackberry,0.03
"Petite Sirah, Sierra Foothills, California, USA",pepper,0.02
"Riesling, Marlborough, New Zealand",fruit,0.04
"Merlot, Monterey, Central Coast, California, USA",toast,0.03
"Pinot Noir, Napa-Sonoma, North Coast, California, USA",spice,0.02
"Merlot, Finger Lakes, New York, USA",bramble,0.05
"Pinot Grigio, Marlborough, New Zealand",passion_fruit,0.04
"Syrah, Colchagua Valley, Central Valley, Chile",jam,0.04
"Pinot Grigio, Sonoma Valley, North Coast, California, USA",ripe,0.04
"Merlot, Maule Valley, Central Valley, Chile",spice,0.04
"Chardonnay, Hawkes Bay, New Zealand",fruit-forward,0.03
"Bordeaux-style Red Blend, Paso Robles, Central Coast, California, USA",blueberry,0.03
"Chardonnay, Colchagua Valley, Central Valley, Chile",orange_peel,0.03
"Riesling, Mosel, Germany",citrus,0.03
"Zinfandel, Napa Valley, North Coast, California, USA",berry,0.04
"Bordeaux-style Red Blend, Columbia Valley, Washington, USA",ripe,0.03
"Sauvignon Blanc, Curico Valley, Central Valley, Chile",fruit,0.06
"Riesling, Willamette Valley, Oregon, USA",juicy,0.04
"Gruner Veltliner, Burgenland, Austria",savory,0.05
"Syrah, Monterey, Central Coast, California, USA",earth,0.04
"Pinot Grigio, San Luis Obispo, Central Coast, California, USA",lime_peel,0.03
"Pinot Noir, Burgenland, Austria",toast,0.04
"Riesling, Central Otago, New Zealand",wet_rocks,0.03
"Riesling, Canterbury and Waipara, New Zealand",flower,0.04
"Cabernet Sauvignon, Coastal Region, South Africa",ripe,0.05
"Pinot Grigio, Willamette Valley, Oregon, USA",citrus,0.03
"Chardonnay, Finger Lakes, New York, USA",ripe,0.03
"Chardonnay, Maule Valley, Central Valley, Chile",white_fruit,0.04
"Cabernet Franc, Columbia Valley, Washington, USA",blueberry,0.02
"Cabernet Franc, Sierra Foothills, California, USA",herb,0.03
"Merlot, Napa Valley, North Coast, California, USA",spice,0.02
"Viognier, Santa Barbara, Central Coast, California, USA",orange,0.03
"Sauvignon Blanc, Santa Barbara, Central Coast, California, USA",gooseberry,0.03
"Sauvignon Blanc, Wairarapa, New Zealand",struck_flint,0.04
"Chardonnay, Marlborough, New Zealand",honey,0.03
"Syrah, San Francisco Bay, Central Coast, California, USA",boysenberry,0.03
"White Blend, Columbia Valley, Washington, USA",stone,0.04
"Chardonnay, San Francisco Bay, Central Coast, California, USA",pineapple,0.03
"Merlot, Hawkes Bay, New Zealand",toast,0.04
"Syrah, Napa Valley, North Coast, California, USA",cassis,0.02
"Bordeaux-style Red Blend, Long Island, New York, USA",vegetal,0.05
"Bordeaux-style Red Blend, Sonoma Valley, North Coast, California, USA",earth,0.02
"Cabernet Sauvignon, Colchagua Valley, Central Valley, Chile",leather,0.03
"Sangiovese, Santa Barbara, Central Coast, California, USA",raisin,0.04
"Chardonnay, San Luis Obispo, Central Coast, California, USA",lactic,0.03
"Syrah, Inland Valleys, California, USA",blackberry,0.04
"Syrah, Cachapoal Valley, Central Valley, Chile",cookie,0.06
"Pinot Grigio, Columbia Valley, Washington, USA",flower,0.03
"Syrah, Alentejo, Portugal",flower,0.03
"Gruner Veltliner, Niederosterreich, Austria",citrus,0.04
"Chardonnay, Inland Valleys, California, USA",fruit,0.06
"Malbec, Columbia Valley, Washington, USA",blackberry,0.04
"Pinot Grigio, Southern Oregon, Oregon, USA",oak,0.03
"Tempranillo, Inland Valleys, California, USA",dark_fruit,0.03
"Pinot Noir, Niederosterreich, Austria",clay,0.04
"Cabernet Sauvignon, Finger Lakes, New York, USA",vanilla,0.05
"Cabernet Franc, Sonoma Valley, North Coast, California, USA",blackberry,0.02
"Cabernet Sauvignon, Maule Valley, Central Valley, Chile",raspberry,0.04
"Cabernet Sauvignon, Monterey, Central Coast, California, USA",mint,0.03
"Pinot Noir, Monterey, Central Coast, California, USA",spice,0.01
"Merlot, Paso Robles, Central Coast, California, USA",candy,0.03
"Riesling, Rheinhessen, Germany",savory,0.03
"Riesling, Rheingau, Germany",apricot,0.03
"Pinot Noir, Finger Lakes, New York, USA",herb,0.04
"Pinot Noir, Santa Barbara, Central Coast, California, USA",earth,0.02
"Merlot, Columbia Valley, Washington, USA",chocolate,0.03
"Pinot Noir, Wairarapa, New Zealand",toast,0.04
"Merlot, Maipo Valley, Central Valley, Chile",olive,0.03
"Cabernet Sauvignon, Aconcagua Valley, Aconcagua Region, Chile",flower,0.04
"Cabernet Franc, Long Island, New York, USA",yeast,0.04
"Sangiovese, Napa Valley, North Coast, California, USA",fruit,0.02
"Sauvignon Blanc, Coastal Region, South Africa",lemon,0.04
"White Blend, Burgenland, Austria",lemon,0.04
"Syrah, Paso Robles, Central Coast, California, USA",raisin,0.02
"Chardonnay, Breede River Valley",flint,0.03
"Syrah, Columbia Valley, Washington, USA",smoke,0.03
"Syrah, Columbia Valley, Oregon, USA",spice,0.05
"Syrah, Sierra Foothills, California, USA",pepper,0.03
"Chardonnay, Paso Robles, Central Coast, California, USA",lemon,0.03
"Syrah, Southern Oregon, Oregon, USA",strawberry,0.03
"Syrah, Maipo Valley, Central Valley, Chile",rubber,0.06
"Cabernet Sauvignon, Napa Valley, North Coast, California, USA",juicy,0.01
"Chardonnay, Columbia Valley, Washington, USA",lees,0.03
"Chardonnay, Maipo Valley, Central Valley, Chile",vanilla,0.04
"Zinfandel, San Francisco Bay, Central Coast, California, USA",jam,0.03
"Pinot Noir, Napa Valley, North Coast, California, USA",flower,0.03
"Tempranillo, Sierra Foothills, California, USA",inky,0.02
"Tempranillo, Columbia Valley, Washington, USA",flower,0.03
"Tempranillo, Southern Oregon, Oregon, USA",ripe,0.04
"Cabernet Sauvignon, Inland Valleys, California, USA",maple_syrup,0.03
"Cabernet Sauvignon, Cachapoal Valley, Central Valley, Chile",flower,0.04
"Syrah, Casablanca Valley, Aconcagua Region, Chile",graphite,0.03
"Sauvignon Blanc, Colchagua Valley, Central Valley, Chile",lime,0.04
"Merlot, Sonoma Valley, North Coast, California, USA",mint,0.03
"Chardonnay, Casablanca Valley, Aconcagua Region, Chile",fruit,0.04
"Grenache, Santa Barbara, Central Coast, California, USA",rose,0.02
"Zinfandel, Inland Valleys, California, USA",smoke,0.03
"Merlot, San Francisco Bay, Central Coast, California, USA",pepper,0.03
"Sauvignon Blanc, Monterey, Central Coast, California, USA",gooseberry,0.04
"Sauvignon Blanc, Finger Lakes, New York, USA",pear,0.06
"Sauvignon Blanc, Maule Valley, Central Valley, Chile",apricot,0.04
"Syrah, Sonoma Valley, North Coast, California, USA",currant,0.02
"Chardonnay, Long Island, New York, USA",perfumed,0.03
"Chardonnay, Sonoma Valley, North Coast, California, USA",apple,0.03
"Cabernet Sauvignon, Paso Robles, Central Coast, California, USA",chocolate,0.02
"Cabernet Sauvignon, Rapel Valley, Central Valley, Chile",cedar,0.05
"Cabernet Sauvignon, Maipo Valley, Central Valley, Chile",leather,0.03
"Cabernet Sauvignon, Columbia Valley, Oregon, USA",ripe,0.03
"Sauvignon Blanc, Cape South Coast, South Africa",apple,0.03
"Syrah, San Luis Obispo, Central Coast, California, USA",candy,0.03
"Riesling, Niederosterreich, Austria",apple,0.03
"Zinfandel, Paso Robles, Central Coast, California, USA",peach,0.04
"Riesling, Santa Barbara, Central Coast, California, USA",lime,0.04
"Zinfandel, Columbia Valley, Washington, USA",super_ripe,0.04
"Zinfandel, Sierra Foothills, California, USA",jam,0.04
"Sauvignon Blanc, Napa Valley, North Coast, California, USA",grass,0.03
"Chardonnay, Willamette Valley, Oregon, USA",herb,0.03
"Chardonnay, Canterbury and Waipara, New Zealand",citrus,0.06
"Viognier, Inland Valleys, California, USA",apricot,0.03
"White Blend, Southern Greece, Greece",citrus,0.03
"Sauvignon Blanc, Hawkes Bay, New Zealand",tropical_fruit,0.03
"Merlot, Southern Oregon, Oregon, USA",berry,0.03
"Cabernet Sauvignon, Sonoma Valley, North Coast, California, USA",oak,0.02
"Syrah, Breede River Valley",eucalyptus,0.03
"Pinot Noir, Marlborough, New Zealand",flower,0.03
"Grenache, Paso Robles, Central Coast, California, USA",mint,0.03
"Pinot Noir, Sonoma Valley, North Coast, California, USA",cola,0.02
"Cabernet Sauvignon, San Francisco Bay, Central Coast, California, USA",jam,0.03
"Sauvignon Blanc, San Antonio, Aconcagua Region, Chile",nettle,0.04
"White Blend, Coastal Region, South Africa",tropical_fruit,0.05
"Pinot Noir, San Francisco Bay, Central Coast, California, USA",citrus,0.02
"Zinfandel, Sonoma Valley, North Coast, California, USA",raspberry,0.03
"Viognier, Paso Robles, Central Coast, California, USA",citrus,0.06
"Viognier, Columbia Valley, Washington, USA",lactic,0.04
"Sauvignon Blanc, Paso Robles, Central Coast, California, USA",stone,0.02
"Viognier, Sierra Foothills, California, USA",diesel,0.04
"Pinot Noir, San Luis Obispo, Central Coast, California, USA",earth,0.02
"Viognier, Southern Oregon, Oregon, USA",banana,0.02
"Merlot, Rapel Valley, Central Valley, Chile",oak,0.05
"Merlot, Napa-Sonoma, North Coast, California, USA",currant,0.04
"Sauvignon Blanc, Maipo Valley, Central Valley, Chile",vanilla,0.03
"Pinot Noir, Willamette Valley, Oregon, USA",strawberry,0.03
"Bordeaux-style Red Blend, Santa Barbara, Central Coast, California, USA",mint,0.03
"Merlot, Long Island, New York, USA",toast,0.03
"Petite Sirah, Napa Valley, North Coast, California, USA",unripe,0.02
"Pinot Noir, San Benito, Central Coast, California, USA",cinnamon,0.01
"Syrah, Napa-Sonoma, North Coast, California, USA",blueberry,0.04
"Sangiovese, Paso Robles, Central Coast, California, USA",fruit,0.05
"Petite Sirah, Inland Valleys, California, USA",candy,0.04
"Chardonnay, Napa-Sonoma, North Coast, California, USA",apple,0.03
"Sangiovese, Columbia Valley, Washington, USA",leafy,0.03
"Sangiovese, Sierra Foothills, California, USA",ripe,0.04
"Merlot, Galilee, Israel",flower,0.04
"Pinot Noir, San Antonio, Aconcagua Region, Chile",salinity,0.03
"Viognier, Sonoma Valley, North Coast, California, USA",vanilla,0.03
"Cabernet Sauvignon, Columbia Valley, Washington, USA",plum,0.03
"Sauvignon Blanc, Marlborough, New Zealand",tropical_fruit,0.03
"Cabernet Sauvignon, Sierra Foothills, California, USA",smoke,0.03
"Sauvignon Blanc, Sonoma Valley, North Coast, California, USA",minerality,0.03
"Syrah, Galilee, Israel",inky,0.04
"Cabernet Sauvignon, Southern Oregon, Oregon, USA",cranberry,0.05
"White Blend, Macedonia, Greece",orange_blossom,0.05
"Chardonnay, Burgenland, Austria",wood,0.06
"Pinot Noir, Paso Robles, Central Coast, California, USA",raisin,0.05
"Riesling, Monterey, Central Coast, California, USA",tangerine,0.03
"Pinot Noir, Southern Oregon, Oregon, USA",orange,0.04
"Malbec, Colchagua Valley, Central Valley, Chile",flower,0.05
"Riesling, Finger Lakes, New York, USA",savory,0.03
"Chardonnay, Galilee, Israel",tropical_fruit,0.04
"Cabernet Franc, Napa Valley, North Coast, California, USA",berry,0.02
"Petite Sirah, Paso Robles, Central Coast, California, USA",raspberry,0.02
"Merlot, Curico Valley, Central Valley, Chile",pepper,0.03
"Pinot Grigio, Monterey, Central Coast, California, USA",fruity,0.03
"Sauvignon Blanc, San Luis Obispo, Central Coast, California, USA",ripe,0.06
"Pinot Grigio, Finger Lakes, New York, USA",savory,0.04
"Pinot Noir, Nelson, New Zealand",earth,0.06
"Pinot Grigio, Santa Barbara, Central Coast, California, USA",flower,0.03
"Bordeaux-style Red Blend, Coastal Region, South Africa",spice,0.04
"Pinot Noir, Casablanca Valley, Aconcagua Region, Chile",rhubarb,0.04
"Sangiovese, Sonoma Valley, North Coast, California, USA",coffee,0.03
"Riesling, Pfalz, Germany",oil,0.05
"Chardonnay, Gisborne, New Zealand",lactic,0.04
"White Blend, Napa Valley, North Coast, California, USA",ripe,0.05
"Cabernet Sauvignon, Napa-Sonoma, North Coast, California, USA",tobacco,0.04
"Chardonnay, Auckland, New Zealand",peach,0.04
"Merlot, Santa Barbara, Central Coast, California, USA",mint,0.03
"Cabernet Sauvignon, Long Island, New York, USA",cassis,0.05
"Syrah, Hawkes Bay, New Zealand",herb,0.05
"Grenache, Columbia Valley, Washington, USA",cranberry,0.04
"Syrah, Santa Barbara, Central Coast, California, USA",raspberry,0.02
"Cabernet Sauvignon, Galilee, Israel",earth,0.04
"Chardonnay, Monterey, Central Coast, California, USA",orange,0.02
"Riesling, Nahe, Germany",lime,0.03
"Petite Sirah, Sonoma Valley, North Coast, California, USA",juicy,0.02
"Chardonnay, Santa Barbara, Central Coast, California, USA",steel,0.02
"Sauvignon Blanc, Columbia Valley, Washington, USA",lactic,0.03
"Sauvignon Blanc, Sierra Foothills, California, USA",smoke,0.05
"Petite Sirah, San Francisco Bay, Central Coast, California, USA",coffee,0.02
"Bordeaux-style Red Blend, Finger Lakes, New York, USA",leafy,0.03
"Sauvignon Blanc, Steiermark, Austria",yeast,0.04
"Pinot Noir, Canterbury and Waipara, New Zealand",herb,0.02
"Pinot Noir, Central Otago, New Zealand",coffee,0.03
"Sauvignon Blanc, Nelson, New Zealand",grass,0.06
"Sauvignon Blanc, Casablanca Valley, Aconcagua Region, Chile",ripe,0.04
"Cabernet Franc, Finger Lakes, New York, USA",tobacco,0.03
"Cabernet Sauvignon, Curico Valley, Central Valley, Chile",coffee,0.03
"Merlot, Coastal Region, South Africa",coffee,0.04
"Riesling, Columbia Valley, Washington, USA",pear,0.03
"Chardonnay, Napa Valley, North Coast, California, USA",tropical_fruit,0.03
"Bordeaux-style Red Blend, Napa Valley, North Coast, California, USA",dust,0.01
"Sauvignon Blanc, Long Island, New York, USA",juicy,0.03
"Sauvignon Blanc, Limari Valley, Coquimbo Region, Chile",grass,0.06
"Syrah, Coastal Region, South Africa",cherry,0.03
"Cabernet Sauvignon, Santa Barbara, Central Coast, California, USA",blueberry,0.02
"Cabernet Franc, San Francisco Bay, Central Coast, California, USA",herb,0.03
"Chardonnay, Coastal Region, South Africa",pear,0.04
"Bordeaux-style Red Blend, Hawkes Bay, New Zealand",ripe,0.05
"Merlot, Colchagua Valley, Central Valley, Chile",cola,0.03
"Petite Sirah, Sierra Foothills, California, USA",raspberry,0.02
"Riesling, Marlborough, New Zealand",steel,0.03
"Merlot, Monterey, Central Coast, California, USA",medicinal,0.03
"Pinot Noir, Napa-Sonoma, North Coast, California, USA",jam,0.02
"Merlot, Finger Lakes, New York, USA",inky,0.05
"Pinot Grigio, Marlborough, New Zealand",lactic,0.04
"Syrah, Colchagua Valley, Central Valley, Chile",herb,0.04
"Pinot Grigio, Sonoma Valley, North Coast, California, USA",lactic,0.04
"Merlot, Maule Valley, Central Valley, Chile",fruit,0.04
"Chardonnay, Hawkes Bay, New Zealand",sappy,0.03
"Bordeaux-style Red Blend, Paso Robles, Central Coast, California, USA",chocolate,0.03
"Chardonnay, Colchagua Valley, Central Valley, Chile",candy,0.03
"Riesling, Mosel, Germany",lemon,0.03
"Zinfandel, Napa Valley, North Coast, California, USA",jam,0.03
"Bordeaux-style Red Blend, Columbia Valley, Washington, USA",earth,0.03
"Sauvignon Blanc, Curico Valley, Central Valley, Chile",salinity,0.04
"Riesling, Willamette Valley, Oregon, USA",oak,0.03
"Gruner Veltliner, Burgenland, Austria",flint,0.03
"Syrah, Monterey, Central Coast, California, USA",cassis,0.03
"Pinot Grigio, San Luis Obispo, Central Coast, California, USA",peach,0.03
"Pinot Noir, Burgenland, Austria",berry,0.04
"Riesling, Central Otago, New Zealand",salinity,0.03
"Riesling, Canterbury and Waipara, New Zealand",melon,0.04
"Cabernet Sauvignon, Coastal Region, South Africa",mint,0.04
"Pinot Grigio, Willamette Valley, Oregon, USA",minerality,0.03
"Chardonnay, Finger Lakes, New York, USA",citrus,0.03
"Chardonnay, Maule Valley, Central Valley, Chile",fruit,0.04
"Cabernet Franc, Columbia Valley, Washington, USA",cassis,0.02
"Cabernet Franc, Sierra Foothills, California, USA",smoke,0.03
"Merlot, Napa Valley, North Coast, California, USA",smoke,0.02
"Viognier, Santa Barbara, Central Coast, California, USA",honeysuckle,0.03
"Sauvignon Blanc, Santa Barbara, Central Coast, California, USA",lime,0.03
"Sauvignon Blanc, Wairarapa, New Zealand",pineapple,0.04
"Chardonnay, Marlborough, New Zealand",lactic,0.03
"Syrah, San Francisco Bay, Central Coast, California, USA",jam,0.03
"White Blend, Columbia Valley, Washington, USA",yeast,0.03
"Chardonnay, San Francisco Bay, Central Coast, California, USA",smoke,0.03
"Merlot, Hawkes Bay, New Zealand",ripe,0.04
"Syrah, Napa Valley, North Coast, California, USA",currant,0.02
"Bordeaux-style Red Blend, Long Island, New York, USA",forest_floor,0.05
"Bordeaux-style Red Blend, Sonoma Valley, North Coast, California, USA",herb,0.02
"Cabernet Sauvignon, Colchagua Valley, Central Valley, Chile",spice,0.03
"Sangiovese, Santa Barbara, Central Coast, California, USA",spice,0.04
"Chardonnay, San Luis Obispo, Central Coast, California, USA",smoke,0.03
"Syrah, Inland Valleys, California, USA",savory,0.03
"Syrah, Cachapoal Valley, Central Valley, Chile",coconut,0.06
"Pinot Grigio, Columbia Valley, Washington, USA",steel,0.03
"Syrah, Alentejo, Portugal",dust,0.03
"Gruner Veltliner, Niederosterreich, Austria",lemon,0.02
"Chardonnay, Inland Valleys, California, USA",oak,0.06
